"nom","adresse","code_insee","commune","etat","type","nb_places_dispo","nb_velos_dispo","etat_connexion","x","y","date_modification","geom"
METROPOLE EUROPEENNE DE LILLE,MEL RUE DU BALLON,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.075992,50.641926,2022-11-29T10:47:16.181Z,POINT (3.075992 50.641926)
VERDUN,69 AVENUE DE VERDUN,,MONS EN BAROEUL,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.10231,50.638126,2022-11-29T10:47:16.183Z,POINT (3.10231 50.638126)
CONCORDE,27 BOULEVARD ALPHONSE GAYET,,MONS EN BAROEUL,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.112704,50.638123,2022-11-29T10:47:16.183Z,POINT (3.112704 50.638123)
SQUARE DU PORTUGAL,FACE AU 204 RUE DE LA BASSEE,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.030667,50.623466,2022-11-29T10:47:16.184Z,POINT (3.030667 50.623466)
SQUARE CHARLES DE GAULLE,"4, RUE FERDINAND BUISSON",,HELLEMMES,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.115101,50.626846,2022-11-29T10:47:16.184Z,POINT (3.115101 50.626846)
COLLEGE LAVOISIER,"56, RUE PAUL VAILLANT",,LAMBERSART,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.022364,50.641834,2022-11-29T10:47:16.185Z,POINT (3.022364 50.641834)
LE POLYEDRE,"FACE AU 38, AVENUE RHIN ET DANUBE",,MONS EN BAROEUL,RÉFORMÉ,AVEC TPE,3,0,DÉCONNECTÉ,3.115571,50.64057,2022-11-29T10:47:16.185Z,POINT (3.115571 50.64057)
FLERS MAIRIE,16 RUE DU GÉNÉRAL LECLERC,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.127964,50.63708,2022-11-29T10:47:16.185Z,POINT (3.127964 50.63708)
RUE LOUISE MICHEL,93 RUE LOUISE MICHEL,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.127335,50.633842,2022-11-29T10:47:16.185Z,POINT (3.127335 50.633842)
FLERS CHATEAU,RUE DE LA CHEVALERIE,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.130853,50.63608,2022-11-29T10:47:16.185Z,POINT (3.130853 50.63608)
RUE DES VICTOIRES,"76, BOULEVARD VAN GOGH",,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.131706,50.6221,2022-11-29T10:47:16.186Z,POINT (3.131706 50.6221)
ROND POINT DE TOURNAI,"55, RUE DES FUSILLÉS",,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.146026,50.61776,2022-11-29T10:47:16.187Z,POINT (3.146026 50.61776)
RESIDENCE,PLACE N. DAME DE LA NATIVITÉ,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.14528,50.61992,2022-11-29T10:47:16.187Z,POINT (3.14528 50.61992)
TROIS PONTS,"186, AVENUE JULIEN LAGACHE",,ROUBAIX,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.200799,50.684593,2022-11-29T10:47:16.198Z,POINT (3.200799 50.684593)
PLACE SPRIET,PLACE CHARLES SPRIET,,ROUBAIX,RÉFORMÉ,AVEC TPE,24,0,DÉCONNECTÉ,3.18514,50.67392,2022-11-29T10:47:16.198Z,POINT (3.18514 50.67392)
LES GOBELINS,"32, RUE DE LA COMMUNAUTÉ URBAINE",,ROUBAIX,RÉFORMÉ,AVEC TPE,12,0,DÉCONNECTÉ,3.172165,50.6941,2022-11-29T10:47:16.198Z,POINT (3.172165 50.6941)
PELLART,"15, RUE PELLART",,ROUBAIX,RÉFORMÉ,AVEC TPE,7,0,DÉCONNECTÉ,3.180779,50.69535,2022-11-29T10:47:16.199Z,POINT (3.180779 50.69535)
MOTTE BOSSUT,ROND POINT DE L'EUROPE,,ROUBAIX,RÉFORMÉ,AVEC TPE,10,0,DÉCONNECTÉ,3.177179,50.689762,2022-11-29T10:47:16.199Z,POINT (3.177179 50.689762)
RUE DE TOURCOING,RUE DE TOURCOING (SUR LA PARKING GRDF),,ROUBAIX,RÉFORMÉ,AVEC TPE,16,0,DÉCONNECTÉ,3.172654,50.702026,2022-11-29T10:47:16.199Z,POINT (3.172654 50.702026)
WATTRELOS PLACE,"2-10, D660",,WATTRELOS,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.215011,50.701187,2022-11-29T10:47:16.201Z,POINT (3.215011 50.701187)
STALINGRAD,38-4 RUE DE STALINGRAD,,WATTRELOS,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.209156,50.69626,2022-11-29T10:47:16.201Z,POINT (3.209156 50.69626)
REPUBLIQUE,203 RUE CARNOT,,WATTRELOS,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.206297,50.697895,2022-11-29T10:47:16.201Z,POINT (3.206297 50.697895)
BELFORT,84 RUE DE TREVISE,,LILLE,RÉFORMÉ,AVEC TPE,1,0,DÉCONNECTÉ,3.077127,50.622223,2022-11-29T10:47:16.205Z,POINT (3.077127 50.622223)
JULES GUESDE,RUE ST ELOI,,LILLE HELLEMMES,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.110669,50.632393,2022-11-29T10:47:16.207Z,POINT (3.110669 50.632393)
BOULEVARD DE METZ,40 BOULEVARD DE METZ,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.041299,50.619312,2022-11-29T10:47:16.207Z,POINT (3.041299 50.619312)
RUE DE LA GAITE,9 RUE MARCEAU,,LILLE,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.091106,50.63665,2022-11-29T10:47:16.207Z,POINT (3.091106 50.63665)
RUE CHAMBORD,RUE CHAMBORD,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.133873,50.62972,2024-04-18T14:46:09.093Z,POINT (3.133873 50.62972)
RUE CORNEILLE,RUE CORNEILLE,,VILLENEUVE D'ASCQ,RÉFORMÉ,AVEC TPE,14,0,DÉCONNECTÉ,3.144815,50.623795,2024-04-18T14:46:09.093Z,POINT (3.144815 50.623795)
BLANCHEMAILLE,AVENUE DES NATIONS UNIES,,ROUBAIX,RÉFORMÉ,AVEC TPE,0,0,DÉCONNECTÉ,3.16713,50.696327,2024-04-18T14:46:09.094Z,POINT (3.16713 50.696327)
LAËNNEC,31 bis rue des Écoles,,Hem,RÉFORMÉ,AVEC TPE,3,0,DÉCONNECTÉ,3.198101,50.665946,2024-12-03T14:11:14.896Z,POINT (3.198101 50.665946)
PONT DE L'ABBAYE,6 rue du Pont de l'Abbaye,,Marquette Lez Lille,EN SERVICE,AVEC TPE,11,9,CONNECTÉ,3.06415,50.666236,2025-12-19T13:23:08.235Z,POINT (3.06415 50.666236)
ROBERSART,1 place du Général de Gaulle,,Wambrechies,EN SERVICE,AVEC TPE,6,10,CONNECTÉ,3.05332,50.68656,2025-12-19T13:23:08.236Z,POINT (3.05332 50.68656)
PETIT PARADIS,7 Avenue du Maréchal Foch,,Wambrechies,EN SERVICE,AVEC TPE,2,10,CONNECTÉ,3.05179,50.68245,2025-12-19T13:23:08.236Z,POINT (3.05179 50.68245)
RAMPONNEAU,Allée des Marronniers,,Lille,EN SERVICE,AVEC TPE,19,1,CONNECTÉ,3.05323,50.6399,2025-12-19T13:23:08.236Z,POINT (3.05323 50.6399)
GARE D'EAU,331 Rue des Bois Blancs,,Lille,EN SERVICE,AVEC TPE,11,3,CONNECTÉ,3.02139,50.62911,2025-12-19T13:23:08.237Z,POINT (3.02139 50.62911)
STATION MOBILE 1,4 Rue du Professeur Langevin,,Lille,HORS SERVICE,AVEC TPE,20,0,DÉCONNECTÉ,3.086178,50.615795,2025-12-19T13:23:08.238Z,POINT (3.086178 50.615795)
STATION MOBILE 2,4 Rue du Professeur Langevin,,Lille,HORS SERVICE,AVEC TPE,20,0,DÉCONNECTÉ,3.088049,50.614968,2025-12-19T13:23:08.238Z,POINT (3.088049 50.614968)
VOLTAIRE,91 Rue Royale,,Lille,EN SERVICE,AVEC TPE,4,10,CONNECTÉ,3.055932,50.6428,2025-12-19T13:23:08.074Z,POINT (3.055932 50.6428)
VICTOIRE,1 Place de la Victoire,,Tourcoing,EN SERVICE,AVEC TPE,9,3,CONNECTÉ,3.15749,50.718204,2025-12-19T13:23:08.209Z,POINT (3.15749 50.718204)
F ROOSEVELT,14 Boulevard de l' Egalité,,Tourcoing,EN SERVICE,AVEC TPE,9,3,CONNECTÉ,3.166828,50.727453,2025-12-19T13:23:08.209Z,POINT (3.166828 50.727453)
JARDIN BOTANIQUE,126 Rue Verte,,Tourcoing,EN SERVICE,AVEC TPE,4,4,CONNECTÉ,3.166122,50.724581,2025-12-19T13:23:08.209Z,POINT (3.166122 50.724581)
CAVELL,49 Rue de la Cloche,,Tourcoing,EN SERVICE,AVEC TPE,1,5,CONNECTÉ,3.163794,50.72271,2025-12-19T13:23:08.211Z,POINT (3.163794 50.72271)
PLACE DE STRASBOURG,7 Place de Strasbourg,,Lille,EN SERVICE,AVEC TPE,8,8,CONNECTÉ,3.055307,50.633728,2025-12-19T13:23:08.072Z,POINT (3.055307 50.633728)
OPERA,2 rue Anatole France,,Lille,EN SERVICE,AVEC TPE,1,24,CONNECTÉ,3.065902,50.637486,2025-12-19T13:23:08.073Z,POINT (3.065902 50.637486)
RUE DES ARTS,55 rue des Arts,,Lille,EN SERVICE,AVEC TPE,0,18,CONNECTÉ,3.065767,50.639107,2025-12-19T13:23:08.084Z,POINT (3.065767 50.639107)
MOLINEL,54 rue du Molinel,,Lille,EN SERVICE,AVEC TPE,6,16,CONNECTÉ,3.068097,50.63458,2025-12-19T13:23:08.084Z,POINT (3.068097 50.63458)
MARCHE DE WAZEMMES,298 rue Léon Gambetta,,Lille,EN SERVICE,AVEC TPE,24,3,CONNECTÉ,3.050173,50.627674,2025-12-19T13:23:08.094Z,POINT (3.050173 50.627674)
THEATRE SEBASTOPOL,Place Sébastopol,,Lille,EN SERVICE,AVEC TPE,31,1,CONNECTÉ,3.058288,50.629044,2025-12-19T13:23:08.095Z,POINT (3.058288 50.629044)
ARTOIS,3 Rue d'Artois,,Lille,EN SERVICE,AVEC TPE,16,2,CONNECTÉ,3.061337,50.626279,2025-12-19T13:23:08.096Z,POINT (3.061337 50.626279)
PORTE DE DOUAI,Place Fernig,,Lille,EN SERVICE,AVEC TPE,8,18,CONNECTÉ,3.07241,50.61843,2025-12-19T13:23:08.097Z,POINT (3.07241 50.61843)
JB LEBAS,76 boulevard Jean-Baptiste Lebas,,Lille,EN SERVICE,AVEC TPE,37,3,CONNECTÉ,3.068689,50.62482,2025-12-19T13:23:08.098Z,POINT (3.068689 50.62482)
CANTELEU,235 avenue de Dunkerque,,Lille,EN SERVICE,AVEC TPE,8,10,CONNECTÉ,3.024314,50.637302,2025-12-19T13:23:08.105Z,POINT (3.024314 50.637302)
ST MAURICE PELLEVOISIN,203 rue du Faubourg de Roubaix,,Lille,EN SERVICE,AVEC TPE,1,23,CONNECTÉ,3.087979,50.642315,2025-12-19T13:23:08.105Z,POINT (3.087979 50.642315)
EUGENE JACQUET,78 rue Eugène Jacquet,,Lille,EN SERVICE,AVEC TPE,15,6,CONNECTÉ,3.084894,50.637337,2025-12-19T13:23:08.106Z,POINT (3.084894 50.637337)
EURATECHNOLOGIES,175 avenue de Bretagne,,Lille,EN SERVICE,AVEC TPE,14,10,CONNECTÉ,3.02059,50.63378,2025-12-19T13:23:08.128Z,POINT (3.02059 50.63378)
ROMARIN,92 Avenue de la République,,La Madeleine,EN SERVICE,AVEC TPE,20,7,CONNECTÉ,3.075116,50.64543,2025-12-19T13:23:08.130Z,POINT (3.075116 50.64543)
LOMME MAIRIE,72 avenue de la République,,Lomme,EN SERVICE,AVEC TPE,4,14,CONNECTÉ,3.01154,50.63899,2025-12-19T13:23:08.144Z,POINT (3.01154 50.63899)
CLEMENCEAU HIPPODROME,920 Avenue de la République,,Marcq en Barœul,EN SERVICE,AVEC TPE,2,16,CONNECTÉ,3.096235,50.6618,2025-12-19T13:23:08.144Z,POINT (3.096235 50.6618)
SOLFERINO NATIONALE,171 rue Nationale,,Lille,EN SERVICE,AVEC TPE,16,3,CONNECTÉ,3.052483,50.63268,2025-12-19T13:23:08.148Z,POINT (3.052483 50.63268)
FAUBOURG D'ARRAS,2 rue Marcel Hénaux,,Lille,EN SERVICE,AVEC TPE,13,3,CONNECTÉ,3.062195,50.614052,2025-12-19T13:23:08.148Z,POINT (3.062195 50.614052)
CHU - EURASANTÉ,11 boulevard Eugène Duthoit,,Lille,EN SERVICE,AVEC TPE,12,16,CONNECTÉ,3.038892,50.607664,2025-12-19T13:23:08.155Z,POINT (3.038892 50.607664)
SQUARE JEAN MONNET,Square Jean Monnet,,Lambersart,EN SERVICE,AVEC TPE,3,12,CONNECTÉ,3.029324,50.652107,2025-12-19T13:23:08.177Z,POINT (3.029324 50.652107)
EPEULE MONTESQUIEU,212 Rue de Lille,,Roubaix,EN SERVICE,AVEC TPE,13,3,CONNECTÉ,3.16327,50.683987,2025-12-19T13:23:08.187Z,POINT (3.16327 50.683987)
NATIONS UNIES,158 Boulevard Gambetta,,Roubaix,EN SERVICE,AVEC TPE,14,4,CONNECTÉ,3.185092,50.692368,2025-12-19T13:23:08.196Z,POINT (3.185092 50.692368)
UNIVERSITE CATHOLIQUE,64 Boulevard Vauban,,Lille,EN SERVICE,AVEC TPE,28,3,CONNECTÉ,3.046134,50.632233,2025-12-19T13:23:08.070Z,POINT (3.046134 50.632233)
JARDIN VAUBAN,19 Boulevard Vauban,,Lille,EN SERVICE,AVEC TPE,8,10,CONNECTÉ,3.050447,50.636093,2025-12-19T13:23:08.071Z,POINT (3.050447 50.636093)
MAISON FOLIE WAZEMMES,11 Rue de l'Hôpital Saint-Roch,,Lille,EN SERVICE,AVEC TPE,12,8,CONNECTÉ,3.048961,50.624695,2025-12-19T13:23:08.071Z,POINT (3.048961 50.624695)
MASSENA,87 Rue Masséna,,Lille,EN SERVICE,AVEC TPE,30,10,CONNECTÉ,3.054738,50.63156,2025-12-19T13:23:08.071Z,POINT (3.054738 50.63156)
RUE DE TOUL,18 rue de Toul,,Lille,EN SERVICE,AVEC TPE,23,13,CONNECTÉ,3.044986,50.63393,2025-12-19T13:23:08.072Z,POINT (3.044986 50.63393)
NOUVEAU SIECLE,16 rue de Pas,,Lille,EN SERVICE,AVEC TPE,12,20,CONNECTÉ,3.060977,50.63734,2025-12-19T13:23:08.073Z,POINT (3.060977 50.63734)
QUAI DU WAULT,17 Square Dutilleul,,Lille,EN SERVICE,AVEC TPE,18,0,CONNECTÉ,3.054773,50.63671,2025-12-19T13:23:08.073Z,POINT (3.054773 50.63671)
CHAMP DE MARS,Pont de la Citadelle / Square Daubenton,,Lille,EN SERVICE,AVEC TPE,22,18,CONNECTÉ,3.050661,50.63778,2025-12-19T13:23:08.073Z,POINT (3.050661 50.63778)
ESPLANADE,Pont du Petit Paradis,,Lille,EN SERVICE,AVEC TPE,5,19,CONNECTÉ,3.050645,50.6449,2025-12-19T13:23:08.074Z,POINT (3.050645 50.6449)
MAGASIN,4 place Saint-André,,Lille,EN SERVICE,AVEC TPE,7,9,CONNECTÉ,3.053499,50.646225,2025-12-19T13:23:08.074Z,POINT (3.053499 50.646225)
HALLE AUX SUCRES,33 avenue du Peuple Belge,,Lille,EN SERVICE,AVEC TPE,15,4,CONNECTÉ,3.060867,50.644695,2025-12-19T13:23:08.074Z,POINT (3.060867 50.644695)
RUE ROYALE,40 rue Royale,,Lille,EN SERVICE,AVEC TPE,20,4,CONNECTÉ,3.05774,50.64031,2025-12-19T13:23:08.082Z,POINT (3.05774 50.64031)
N.D. DE LA TREILLE,11 place Gilleson,,Lille,EN SERVICE,AVEC TPE,1,29,CONNECTÉ,3.062053,50.640385,2025-12-19T13:23:08.083Z,POINT (3.062053 50.640385)
PLACE DU CONCERT,2 rue Alphonse Colas,,Lille,EN SERVICE,AVEC TPE,17,3,CONNECTÉ,3.061774,50.64193,2025-12-19T13:23:08.083Z,POINT (3.061774 50.64193)
LOUISE DE BETTIGNIES,2 avenue du Peuple Belge,,Lille,EN SERVICE,AVEC TPE,10,20,CONNECTÉ,3.064974,50.64144,2025-12-19T13:23:08.083Z,POINT (3.064974 50.64144)
FLANDRES EURALILLE,Place des Buisses,,Lille,EN SERVICE,AVEC TPE,9,31,CONNECTÉ,3.070774,50.637078,2025-12-19T13:23:08.084Z,POINT (3.070774 50.637078)
GARE LILLE FLANDRES,Place de la Gare,,Lille,EN SERVICE,AVEC TPE,0,32,CONNECTÉ,3.069354,50.636399,2025-12-19T13:23:08.084Z,POINT (3.069354 50.636399)
TANNEURS,5 rue des Tanneurs,,Lille,EN SERVICE,AVEC TPE,2,34,CONNECTÉ,3.064802,50.635014,2025-12-19T13:23:08.085Z,POINT (3.064802 50.635014)
PALAIS RAMEAU,60 rue Solférino,,Lille,EN SERVICE,AVEC TPE,37,3,CONNECTÉ,3.048936,50.634297,2025-12-19T13:23:08.085Z,POINT (3.048936 50.634297)
ST SEBASTIEN,52 rue Saint-Sébastien,,Lille,EN SERVICE,AVEC TPE,14,14,CONNECTÉ,3.059376,50.647236,2025-12-19T13:23:08.085Z,POINT (3.059376 50.647236)
RUE DE GAND,8 place de Gand,,Lille,EN SERVICE,AVEC TPE,7,12,CONNECTÉ,3.067375,50.64297,2025-12-19T13:23:08.085Z,POINT (3.067375 50.64297)
PONT NEUF,38 bis rue du Pont Neuf,,Lille,EN SERVICE,AVEC TPE,5,15,CONNECTÉ,3.062935,50.644264,2025-12-19T13:23:08.086Z,POINT (3.062935 50.644264)
PLACE AUX BLEUETS,15 place aux Bleuets,,Lille,EN SERVICE,AVEC TPE,4,12,CONNECTÉ,3.067873,50.64142,2025-12-19T13:23:08.092Z,POINT (3.067873 50.64142)
PORT DE LILLE,Rue de Lille (métro Port de Lille),,Lille,EN SERVICE,AVEC TPE,21,5,CONNECTÉ,3.035681,50.63022,2025-12-19T13:23:08.092Z,POINT (3.035681 50.63022)
PLACE CATINAT,199 rue Colbert,,Lille,EN SERVICE,AVEC TPE,15,5,CONNECTÉ,3.041209,50.63413,2025-12-19T13:23:08.093Z,POINT (3.041209 50.63413)
LECLERC,328 Rue de Solférino,,Lille,EN SERVICE,AVEC TPE,25,3,CONNECTÉ,3.043971,50.629207,2025-12-19T13:23:08.093Z,POINT (3.043971 50.629207)
CORMONTAIGNE,26 place Cormontaigne,,Lille,EN SERVICE,AVEC TPE,24,12,CONNECTÉ,3.039911,50.62624,2025-12-19T13:23:08.093Z,POINT (3.039911 50.62624)
FULTON,25 rue du Bazinghien,,Lille,EN SERVICE,AVEC TPE,10,2,CONNECTÉ,3.037553,50.62337,2025-12-19T13:23:08.094Z,POINT (3.037553 50.62337)
PLACE CASQUETTE,1 rue d'Haubourdin,,Lille,EN SERVICE,AVEC TPE,10,8,CONNECTÉ,3.045321,50.62429,2025-12-19T13:23:08.094Z,POINT (3.045321 50.62429)
METRO GAMBETTA,43 rue du Marché,,Lille,EN SERVICE,AVEC TPE,17,11,CONNECTÉ,3.051729,50.62614,2025-12-19T13:23:08.094Z,POINT (3.051729 50.62614)
BUISSON,685 avenue de la République,,Lille,EN SERVICE,AVEC TPE,12,4,CONNECTÉ,3.088004,50.656487,2025-12-19T13:23:08.095Z,POINT (3.088004 50.656487)
PLACE PHILIPPE LEBON,13 place Phillippe Lebon,,Lille,EN SERVICE,AVEC TPE,17,1,CONNECTÉ,3.06209,50.62789,2025-12-19T13:23:08.095Z,POINT (3.06209 50.62789)
GAMBETTA UTRECHT,203 Rue Léon Gambetta,,Lille,EN SERVICE,AVEC TPE,15,3,CONNECTÉ,3.053711,50.629063,2025-12-19T13:23:08.096Z,POINT (3.053711 50.629063)
BRULE MAISON,61 Rue des Postes,,Lille,EN SERVICE,AVEC TPE,11,7,CONNECTÉ,3.05659,50.62633,2025-12-19T13:23:08.096Z,POINT (3.05659 50.62633)
BOULEVARD LOUIS XIV,4 Boulevard Louis XIV,,Lille,EN SERVICE,AVEC TPE,14,12,CONNECTÉ,3.069797,50.62816,2025-12-19T13:23:08.097Z,POINT (3.069797 50.62816)
METRO WAZEMMES,94 rue Racine,,Lille,EN SERVICE,AVEC TPE,16,4,CONNECTÉ,3.051565,50.62338,2025-12-19T13:23:08.099Z,POINT (3.051565 50.62338)
BD VICTOR HUGO,216 Boulevard Victor Hugo,,Lille,EN SERVICE,AVEC TPE,12,6,CONNECTÉ,3.055471,50.620304,2025-12-19T13:23:08.100Z,POINT (3.055471 50.620304)
BARTHELEMY DELESPAUL,52 Rue Barthélemy Delespaul,,Lille,EN SERVICE,AVEC TPE,15,3,CONNECTÉ,3.058902,50.62418,2025-12-19T13:23:08.100Z,POINT (3.058902 50.62418)
